ID , Year, Month (r), Date      , Ticker       , Transation                  , Stock Proceeds, Units      , Balance Units, Cost  Unit Price, Total Cost (H*J), Balance Total Cost (prior + K), Avarage Price (K/H), B3 Unit Price, B3  Total Price  (I*N), 7        , 31       , 365      , YTD      , Instrument Type, Investment Broker , CNPJ              , IR       , Dollar Date, Total_(stocks + proceeds), Overall  % Var, Overall  %   YTD
  2, 2017,         5, 02/05/2017, B3SA3        , Buy                         ,               , "256,0000" , "256,00000"  , "R$ 22,76"      , "R$ 5.826,56"   , "R$ 5.826,56"                 , "R$ 22,76"         , NOT FOUND    ,                       , NOT FOUND, NOT FOUND, NOT FOUND, NOT FOUND, Financial      , Àgora             , 09.346.601/0001-25,          , NOT FOUND  ,                          ,               , 
  3, 2020,         1, 13/01/2020, B3SA3        , DIVIDENDOS                  , "R$ 41,91"    ,            , "256,00000"  , "R$ 22,76"      , "R$ 5.826,56"   , "R$ 5.826,56"                 , "R$ 22,76"         , NOT FOUND    ,                       , NOT FOUND, NOT FOUND, NOT FOUND, NOT FOUND, Financial      , Àgora             , 09.346.601/0001-25,          , NOT FOUND  ,                          ,               , 
  4, 2020,         1, 13/01/2020, B3SA3        , JUROS S/ CAPITAL PRÓPRIO    , "R$ 41,37"    ,            , "256,00000"  , "R$ 22,76"      , "R$ 5.826,56"   , "R$ 5.826,56"                 , "R$ 22,76"         , NOT FOUND    ,                       , NOT FOUND, NOT FOUND, NOT FOUND, NOT FOUND, Financial      , Àgora             , 09.346.601/0001-25,          , NOT FOUND  ,                          ,               , 
  5, 2020,         2, 13/02/2020, BVMF:SUZB3   , Buy                         ,               , "200,0000" , "200,00000"  , "R$ 41,52"      , "R$ 8.304,00"   , "R$ 8.304,00"                 , "R$ 41,52"         , NOT FOUND    ,                       , NOT FOUND, NOT FOUND, NOT FOUND, NOT FOUND, Industry       , Rico Investimentos, 16.404.287/0001-55,          , NOT FOUND  ,                          ,               , 
  6, 2020,         2, 13/02/2020, BVMF:SUZB3   , Buy                         ,               , "67,0000"  , "267,00000"  , "R$ 41,52"      , "R$ 2.781,84"   , "R$ 11.085,84"                , "R$ 41,52"         , NOT FOUND    ,                       , NOT FOUND, NOT FOUND, NOT FOUND, NOT FOUND, Industry       , Rico Investimentos, 16.404.287/0001-55,          , NOT FOUND  ,                          ,               , 
  7, 2020,         2, 13/02/2020, ENBR3        , Buy                         ,               , "300,0000" , "300,00000"  , "R$ 21,65"      , "R$ 6.495,00"   , "R$ 6.495,00"                 , "R$ 21,65"         , NOT FOUND    ,                       , NOT FOUND, NOT FOUND, NOT FOUND, NOT FOUND, Energy         , Rico Investimentos, 03.983.431/0001-03,          , NOT FOUND  ,                          ,               , 
  8, 2020,         2, 13/02/2020, ENBR3        , Buy                         ,               , "100,0000" , "400,00000"  , "R$ 21,65"      , "R$ 2.165,00"   , "R$ 8.660,00"                 , "R$ 21,65"         , NOT FOUND    ,                       , NOT FOUND, NOT FOUND, NOT FOUND, NOT FOUND, Energy         , Rico Investimentos, 03.983.431/0001-03,          , NOT FOUND  ,                          ,               , 
  9, 2020,         2, 13/02/2020, ENBR3        , Buy                         ,               , "62,0000"  , "462,00000"  , "R$ 21,65"      , "R$ 1.342,30"   , "R$ 10.002,30"                , "R$ 21,65"         , NOT FOUND    ,                       , NOT FOUND, NOT FOUND, NOT FOUND, NOT FOUND, Energy         , Rico Investimentos, 03.983.431/0001-03,          , NOT FOUND  ,                          ,               , 
 10, 2020,         2, 13/02/2020, HGRU11       , Buy                         ,               , "56,0000"  , "56,00000"   , "R$ 138,03"     , "R$ 7.729,68"   , "R$ 7.729,68"                 , "R$ 138,03"        , NOT FOUND    ,                       , NOT FOUND, NOT FOUND, NOT FOUND, NOT FOUND, FII            , Rico Investimentos, 29.641.226/0001-53,          , NOT FOUND  ,                          ,               , 
 11, 2020,         2, 13/02/2020, HGRU11       , Buy                         ,               , "4,0000"   , "60,00000"   , "R$ 138,03"     , "R$ 552,12"     , "R$ 8.281,80"                 , "R$ 138,03"        , NOT FOUND    ,                       , NOT FOUND, NOT FOUND, NOT FOUND, NOT FOUND, FII            , Rico Investimentos, 29.641.226/0001-53,          , NOT FOUND  ,                          ,               , 
 12, 2020,         2, 13/02/2020, HGRU11       , Buy                         ,               , "10,0000"  , "70,00000"   , "R$ 138,03"     , "R$ 1.380,30"   , "R$ 9.662,10"                 , "R$ 138,03"        , NOT FOUND    ,                       , NOT FOUND, NOT FOUND, NOT FOUND, NOT FOUND, FII            , Rico Investimentos, 29.641.226/0001-53,          , NOT FOUND  ,                          ,               , 
 13, 2020,         2, 13/02/2020, HSML11       , Buy                         ,               , "83,0000"  , "83,00000"   , "R$ 119,82"     , "R$ 9.945,06"   , "R$ 9.945,06"                 , "R$ 119,82"        , NOT FOUND    ,                       , NOT FOUND, NOT FOUND, NOT FOUND, NOT FOUND, FII            , Rico Investimentos, 32.892.018/0001-31,          , NOT FOUND  ,                          ,               , 
 14, 2020,         2, 13/02/2020, ITSA4        , Buy                         ,               , "100,0000" , "100,00000"  , "R$ 13,20"      , "R$ 1.320,00"   , "R$ 1.320,00"                 , "R$ 13,20"         , NOT FOUND    ,                       , NOT FOUND, NOT FOUND, NOT FOUND, NOT FOUND, Financial      , Rico Investimentos, 61.532.644/0001-15,          , NOT FOUND  ,                          ,               , 
 15, 2020,         2, 13/02/2020, ITSA4        , Buy                         ,               , "600,0000" , "700,00000"  , "R$ 13,20"      , "R$ 7.920,00"   , "R$ 9.240,00"                 , "R$ 13,20"         , NOT FOUND    ,                       , NOT FOUND, NOT FOUND, NOT FOUND, NOT FOUND, Financial      , Rico Investimentos, 61.532.644/0001-15,          , NOT FOUND  ,                          ,               , 
 16, 2020,         2, 13/02/2020, ITSA4        , Buy                         ,               , "35,0000"  , "735,00000"  , "R$ 13,20"      , "R$ 462,00"     , "R$ 9.702,00"                 , "R$ 13,20"         , NOT FOUND    ,                       , NOT FOUND, NOT FOUND, NOT FOUND, NOT FOUND, Financial      , Rico Investimentos, 61.532.644/0001-15,          , NOT FOUND  ,                          ,               , 
 19, 2020,         2, 14/02/2020, GNDI3        , Buy                         ,               , "48,0000"  , "48,00000"   , "R$ 71,42"      , "R$ 3.428,16"   , "R$ 3.428,16"                 , "R$ 71,42"         , NOT FOUND    ,                       , NOT FOUND, NOT FOUND, NOT FOUND, NOT FOUND, Healthcare     , Rico Investimentos, 19.853.511/0001-84,          , NOT FOUND  ,                          ,               , 
 17, 2020,         2, 14/02/2020, IVVB11       , Buy                         ,               , "60,0000"  , "60,00000"   , "R$ 155,54"     , "R$ 9.332,40"   , "R$ 9.332,40"                 , "R$ 155,54"        , NOT FOUND    ,                       , NOT FOUND, NOT FOUND, NOT FOUND, NOT FOUND, ETF            , Rico Investimentos, 19.909.560/0001-91,          , NOT FOUND  ,                          ,               , 
